"bookId","url","image","title","authorName","authorUrl","authorAbout","rating","numberOfRatings","numberOfReviews","description","bookFormat","numberOfPages","firstPublishedDate","publishedDate","publishedBy","Original Title","ISBN"
"188572","https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348815538i/188572.jpg","The Complete Sherlock Holmes","Arthur Conan Doyle","https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle","Sir Arthur Ignatius Conan Doyle was born the third of ten siblings on 22 May 1859 in Edinburgh, Scotland. His father, <a href=""https://www.goodreads.com/author/show/345352.Charles_Altamont_Doyle"" title=""Charles Altamont Doyle"" rel=""nofollow noopener"">Charles Altamont Doyle</a>, a talented illustrator, was born in England of Irish descent, and his mother, born Mary Foley, was Irish. They were married in 1855.<br /><br />Although he is now referred to as ""Conan Doyle"", the origin of this compound surname (if that is how he meant it to be understood) is uncertain. His baptism record in the registry of St Mary's Cathedral in Edinburgh gives 'Arthur Ignatius Conan' as his Christian name, and simply 'Doyle' as his surname. It also names Michael Conan as his godfather.<br /><br />At the age of nine Conan Doyle was sent to the Roman Catholic Jesuit preparatory school, Hodder Place, Stonyhurst. He then went on to Stonyhurst College, leaving in 1875.<br /><br />From 1876 to 1881 he studied medicine at the University of Edinburgh. This required that he provide periodic medical assistance in the towns of Aston (now a district of Birmingham) and Sheffield. While studying, Conan Doyle began writing short stories. His first published story appeared in ""<i>Chambers's Edinburgh Journal</i>"" before he was 20. Following his graduation, he was employed as a ship's doctor on the SS Mayumba during a voyage to the West African coast. He completed his doctorate on the subject of tabes dorsalis in 1885.<br /><br />In 1885 Conan Doyle married Louisa (or Louise) Hawkins, known as ""Touie"". She suffered from tuberculosis and died on 4 July 1906. The following year he married Jean Elizabeth Leckie, whom he had first met and fallen in love with in 1897. Due to his sense of loyalty he had maintained a purely platonic relationship with Jean while his first wife was alive. Jean died in London on 27 June 1940.<br /><br />Conan Doyle fathered five children. Two with his first wife—Mary Louise (28 January 1889 – 12 June 1976), and Arthur Alleyne Kingsley, known as Kingsley (15 November 1892 – 28 October 1918). With his second wife he had three children—Denis Percy Stewart (17 March 1909 – 9 March 1955), second husband in 1936 of Georgian Princess Nina Mdivani (circa 1910 – 19 February 1987; former sister-in-law of Barbara Hutton); Adrian Malcolm (19 November 1910–3 June 1970) and Jean Lena Annette (21 December 1912–18 November 1997).<br /><br />Conan Doyle was found clutching his chest in the hall of Windlesham, his house in Crowborough, East Sussex, on 7 July 1930. He had died of a heart attack at age 71. His last words were directed toward his wife: ""You are wonderful."" The epitaph on his gravestone in the churchyard at Minstead in the New Forest, Hampshire, reads:<br /><br />STEEL TRUE<br />BLADE STRAIGHT<br />ARTHUR CONAN DOYLE<br />KNIGHT<br />PATRIOT, PHYSICIAN &amp; MAN OF LETTERS<br /><br />Conan Doyle's house, Undershaw, located in Hindhead, south of London, where he had lived for a decade, had been a hotel and restaurant between 1924 and 2004. It now stands empty while conservationists and Conan Doyle fans fight to preserve it.<br /><br />A statue honours Conan Doyle at Crowborough Cross in Crowborough, where Conan Doyle lived for 23 years. There is also a statue of Sherlock Holmes in Picardy Place, Edinburgh, close to the house where Conan Doyle was born.<br /><br /><b>Series:</b><br />* <a href=""http://www.goodreads.com/series/49996-sherlock-holmes"" rel=""nofollow noopener"">Sherlock Holmes</a>","4.5","196106","4781","A study in scarlet --<br /><br />The sign of four --<br /><br />Adventures of Sherlock Holmes : A scandal in Bohemia ; The red-headed league ; A case of identity ; The Boscombe Valley mystery ; The five orange pips ; The man with the twisted lip ; The adventure of the blue carbuncle ; The adventure of the speckled band ; The adventure of the engineer's thumb ; The adventure of the noble bachelor ; The adventure of the beryl coronet ; The adventure of the copper beeches --<br /><br />Memoirs of Sherlock Holmes : Silver blaze ; The yellow face ; The stock-broker's clerk ; The ""Gloria Scott"" ; The Musgrave ritual ; The Reigate puzzle ; The crooked man ; The resident patient ; The Greek interpreter ; The naval treaty ; The final problem --<br /><br />The return of Sherlock Holmes : The adventure of the empty house ; The adventure of the Norwood builder ; The adventure of the dancing men ; The adventure of the solitary cyclist ; The adventure of the priory school ; The adventure of Black Peter ; The adventure of Charles Augustus Milverton ; The adventure of the six Napoleons ; The adventure of the three students ; The adventure of the golden pince-nez ; The adventure of the missing three-quarter ; The adventure of the abbey grange ; The adventure of the second stain. <br /><br />Volume 2. Introduction / by Loren D. Estleman --<br /><br />The hound of the Baskervilles --<br /><br />The valley of fear --<br /><br />His last bow : The adventure of Wisteria Lodge : The singular experience of Mr. John Scott Eccles ; The tiger of San Pedro ; The adventure of the cardboard box ; The adventure of the red circle ; The adventure of the Bruce-Partington plans ; The adventure of the dying detective ; The disappearance of Lady Frances Carfax ; The adventure of the devil's foot ; His last bow --<br /><br />The case-book of Sherlock Holmes : The adventure of the illustrious client ; The adventure of the blanched soldier ; The adventure of the Mazarin stone ; The adventure of the three gables ; The adventure of the Sussex vampire ; The adventure of the three Garridebs ; The problem of Thor Bridge ; The adventure of the creeping man ; The adventure of the lion's mane ; The adventure of the veiled lodger ; The adventure of Shoscombe old place ; The adventure of the retired colourman.","Paperback","1796","April 1, 1927","October 1, 1986","Bantam Classics","The Complete Sherlock Holmes",
"9712","https://www.goodreads.com/book/show/9712.Love_in_the_Time_of_Cholera","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712.jpg","Love in the Time of Cholera","Gabriel García Márquez","https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez","Gabriel José de la Concordia Garcí­a Márquez was a Colombian novelist, short-story writer, screenwriter and journalist. Garcí­a Márquez, familiarly known as ""Gabo"" in his native country, was considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature.<br /><br />He studied at the University of Bogotá and later worked as a reporter for the Colombian newspaper <i>El Espectador</i> and as a foreign correspondent in Rome, Paris, Barcelona, Caracas, and New York. He wrote many acclaimed non-fiction works and short stories, but is best-known for his novels, such as <i>One Hundred Years of Solitude</i> (1967) and <i>Love in the Time of Cholera</i> (1985). His works have achieved significant critical acclaim and widespread commercial success, most notably for popularizing a literary style labeled as magical realism, which uses magical elements and events in order to explain real experiences. Some of his works are set in a fictional village called Macondo, and most of them express the theme of solitude.<br /><br />Having previously written shorter fiction and screenplays, García Márquez sequestered himself away in his Mexico City home for an extended period of time to complete his novel <i>Cien años de soledad</i>, or <i>One Hundred Years of Solitude</i>, published in 1967. The author drew international acclaim for the work, which ultimately sold tens of millions of copies worldwide. García Márquez is credited with helping introduce an array of readers to magical realism, a genre that combines more conventional storytelling forms with vivid, layers of fantasy.<br /><br />Another one of his novels, <i>El amor en los tiempos del cólera</i> (1985), or <i>Love in the Time of Cholera</i>, drew a large global audience as well. The work was partially based on his parents' courtship and was adapted into a 2007 film starring Javier Bardem. García Márquez wrote seven novels during his life, with additional titles that include <i>El general en su laberinto</i> (1989), or <i>The General in His Labyrinth</i>, and <i>Del amor y otros demonios</i> (1994), or <i>Of Love and Other Demons</i>.<br /><br />(Arabic: <a href=""https://www.goodreads.com/author/show/5029628._"" rel=""nofollow noopener"">جابرييل جارسيا ماركيز</a>) (Hebrew: <a href=""https://www.goodreads.com/author/show/7091051._"" rel=""nofollow noopener"">גבריאל גארסיה מרקס</a>) (Ukrainian: <a href=""https://www.goodreads.com/author/show/14544328.______________________"" title=""Ґабріель Ґарсія Маркес"" rel=""nofollow noopener"">Ґабріель Ґарсія Маркес</a>) (Belarussian: <a href=""https://www.goodreads.com/author/show/43500299.______________________"" title=""Габрыель Гарсія Маркес"" rel=""nofollow noopener"">Габрыель Гарсія Маркес</a>) (Russian: <a href=""https://www.goodreads.com/author/show/8327668.______________________"" title=""Габриэль Гарсия Маркес"" rel=""nofollow noopener"">Габриэль Гарсия Маркес</a>)","3.93","489487","26200","In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again.","Paperback","348","November 1, 1985","October 5, 2003","Vintage International","El amor en los tiempos del cólera","140003468X"
"7244","https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244.jpg","The Poisonwood Bible","Barbara Kingsolver","https://www.goodreads.com/author/show/3541.Barbara_Kingsolver","Barbara Kingsolver is an American novelist, essayist, and poet. She was raised in rural Kentucky and lived briefly in Africa in her early childhood. Kingsolver earned degrees in Biology at DePauw University and the University of Arizona and worked as a freelance writer before she began writing novels. Her most famous works include <i>The Poisonwood Bible</i>, the tale of a missionary family in the Congo, and <i>Animal, Vegetable, Miracle</i>, a non-fiction account of her family's attempts to eat locally.<br /><br />Her work often focuses on topics such as social justice, biodiversity, and the interaction between humans and their communities and environments. Each of her books published since 1993 have been on <i>The New York Times</i> Best Seller list. Kingsolver has received numerous awards, including the UK's Orange Prize for Fiction 2010, for <i>The Lacuna</i> and the National Humanities Medal. She has been nominated for the PEN/Faulkner Award and the Pulitzer Prize.<br /><br />In 2000, Kingsolver established the Bellwether Prize to support ""literature of social change.""<br /><br />Kingsolver was born in Annapolis, Maryland in 1955 and grew up in Carlisle in rural Kentucky. When Kingsolver was seven years old, her father, a physician, took the family to the former Republic of Congo in what is now the Democratic Republic of the Congo. Her parents worked in a public health capacity, and the family lived without electricity or running water.<br /><br />After graduating from high school, Kingsolver attended DePauw University in Greencastle, Indiana on a music scholarship, studying classical piano. Eventually, however, she changed her major to biology when she realized that ""classical pianists compete for six job openings a year, and the rest of [them:] get to play 'Blue Moon' in a hotel lobby."" She was involved in activism on her campus, and took part in protests against the Vietnam war. She graduated with a Bachelor of Science in 1977, and moved to France for a year before settling in Tucson, Arizona, where she would live for much of the next two decades. In 1980 she enrolled in graduate school at the University of Arizona, where she earned a Master's degree in ecology and evolutionary biology.<br /><br />Kingsolver began her full-time writing career in the mid 1980s as a science writer for the university, which eventually lead to some freelance feature writing. She began her career in fiction writing after winning a short story contest in a local Phoenix newspaper. In 1985 she married Joseph Hoffmann; their daughter Camille was born in 1987. She moved with her daughter to Tenerife in the Canary Islands for a year during the first Gulf war, mostly due to frustration over America's military involvement. After returning to the US in 1992, she separated from her husband.<br /><br />In 1994, Kingsolver was awarded an Honorary Doctorate of Letters from her alma mater, DePauw University. She was also married to Steven Hopp, that year, and their daughter, Lily, was born in 1996. In 2004, Kingsolver moved with her family to a farm in Washington County, Virginia, where they currently reside. In 2008, she received an Honorary Doctorate of Humane Letters from Duke University, where she delivered a commencement address entitled ""How to be Hopeful"".<br /><br />In a 2010 interview with The Guardian, Kingsolver says, ""I never wanted to be famous, and still don't, [...:] the universe rewarded me with what I dreaded most."" She says created her own website just to compete with a plethora of fake ones, ""as a defence to protect my family from misinformation. Wikipedia abhors a vacuum. If you don't define yourself, it will get done for you in colourful ways.""","4.09","726566","26414","<i>The Poisonwood Bible</i> is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.","Hardcover","546","September 24, 1998","May 31, 2005","Harper Perennial Modern Classics","The Poisonwood Bible","0060786507"
"485894","https://www.goodreads.com/book/show/485894.The_Metamorphosis","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1646444605i/485894.jpg","The Metamorphosis","Franz Kafka","https://www.goodreads.com/author/show/5223.Franz_Kafka","Prague-born writer <b>Franz Kafka</b> wrote in German, and his stories, such as ""<i>
  <a href=""https://www.goodreads.com/book/show/485894.The_Metamorphosis"" title=""The Metamorphosis"" rel=""nofollow noopener"">The Metamorphosis</a>
</i>"" (1916), and posthumously published novels, including <i>
  <a href=""https://www.goodreads.com/book/show/17690.The_Trial"" title=""The Trial"" rel=""nofollow noopener"">The Trial</a>
</i> (1925), concern troubled individuals in a nightmarishly impersonal world.<br /><br />Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. <br /><br />His stories include ""The Metamorphosis"" (1912) and ""<i>
  <a href=""https://www.goodreads.com/book/show/581552.In_the_Penal_Colony"" title=""In the Penal Colony"" rel=""nofollow noopener"">In the Penal Colony</a>
</i>"" (1914), whereas his posthumous novels include <i>The Trial</i> (1925), <i>
  <a href=""https://www.goodreads.com/book/show/333538.The_Castle"" title=""The Castle"" rel=""nofollow noopener"">The Castle</a>
</i> (1926) and <i>
  <a href=""https://www.goodreads.com/book/show/22911.Amerika"" title=""Amerika"" rel=""nofollow noopener"">Amerika</a>
</i> (1927).<br /><br />Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from <a href=""https://www.goodreads.com/author/show/1461.Flaubert"" title=""Flaubert"" rel=""nofollow noopener"">Flaubert</a>, one of his favorite authors. <br /><br />Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met <a href=""https://www.goodreads.com/author/show/13004.Max_Brod"" title=""Max Brod"" rel=""nofollow noopener"">Max Brod</a>, a close friend of his throughout his life, together with the journalist <a href=""https://www.goodreads.com/author/show/1946467.Felix_Weltsch"" title=""Felix Weltsch"" rel=""nofollow noopener"">Felix Weltsch</a>, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. <br /><br />Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""<i>The Metamorphosis</i>."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. <br /><br />Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.<br /><br />Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ","3.85","962098","35023","<i>Alternate cover edition of ISBN 0553213695 / 9780553213690</i><br /><br />""As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" <br /><br />With it's startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, <i>The Metamorphosis</i>. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing—though absurdly comic—meditation on human feelings of inadequacy, guilt, and isolation, <i>The Metamorphosis</i> has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man.""","Paperback","201","January 1, 1915","March 1, 1972","Bantam Classics","Die Verwandlung",
"52892857","https://www.goodreads.com/book/show/52892857-the-color-purple","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572261616l/52892857.jpg","The Color Purple","Alice Walker","https://www.goodreads.com/author/show/7380.Alice_Walker","Alice Walker, one of the United States’ preeminent writers, is an award-winning author of novels, stories, essays, and poetry. In 1983, Walker became the first African-American woman to win a Pulitzer Prize for fiction with her novel <i>The Color Purple</i>, which also won the National Book Award. Her other books include <i>The Third Life of Grange Copeland</i>, <i>Meridian</i>, <i>The Temple of My Familiar</i>, and <i>Possessing the Secret of Joy</i>. In her public life, Walker has worked to address problems of injustice, inequality, and poverty as an activist, teacher, and public intellectual.<br />","4.26","650868","22901","<b>Winner of the Pulitzer Prize and the National Book Award. Alice Walker's iconic modern classic is now a Penguin Book.</b><br /><br />A powerful cultural touchstone of modern American literature, <i>The Color Purple</i> depicts the lives of African American women in early twentieth-century rural Georgia. Separated as girls, sisters Celie and Nettie sustain their loyalty to and hope in each other across time, distance and silence. Through a series of letters spanning twenty years, first from Celie to God, then the sisters to each other despite the unknown, the novel draws readers into its rich and memorable portrayals of Celie, Nettie, Shug Avery and Sofia and their experience. <i>The Color Purple</i> broke the silence around domestic and sexual abuse, narrating the lives of women through their pain and struggle, companionship and growth, resilience and bravery. Deeply compassionate and beautifully imagined, Alice Walker's epic carries readers on a spirit-affirming journey towards redemption and love.","Paperback","304","June 1, 1982","December 10, 2019","Penguin Books","The Color Purple","0143135694"
"662","https://www.goodreads.com/book/show/662.Atlas_Shrugged","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662.jpg","Atlas Shrugged","Ayn Rand","https://www.goodreads.com/author/show/432.Ayn_Rand","Polemical novels, such as <i>
  <a href=""https://www.goodreads.com/book/show/2122.The_Fountainhead"" title=""The Fountainhead"" rel=""nofollow noopener"">The Fountainhead</a>
</i> (1943), of primarily known Russian-born American writer <b>Ayn Rand</b>, originally <b>Alisa Rosenbaum</b>, espouse the doctrines of objectivism and political libertarianism. <br /><br />Alisa Rosenbaum entered into a prosperous Jewish family before Russian revolution. When the Bolsheviks requisitioned the pharmacy that Fronz Rosenbaum, her father, owned, the family fled to the Crimea. Alisa returned to the city, renamed Leningrad, to attend the university, but relatives already settled in America and in 1926 offered her the chance of joining them. With money from the sale of jewelry of her mother, Alisa bought a ticket to New York. On arrival at Ellis Island, she changed into Ayn (after a name of some Finnish author, probably ""Aino"") Rand (a supposed abbreviation of her Russian surname). She moved swiftly to Hollywood, where she learned English, worked in the RKO wardrobe department and as an extra, and wrote through the night on screenplays and novels. Because her original visa as a visitor expired, she also married a ""beautiful"" bit-part actor, called Frank O'Connor. <br /><br />Rand sold her first screenplay in 1932, but nobody bought <i>We the Living</i> (1936), her first novel and a melodrama, set in Russia. Her first real success was <i>The Fountainhead</i> (rejected by more than ten publishers before publication in 1943).<br /><br />She started a new philosophy, known as objectivism, opposed to state interference of all kinds, and her follow-up novel <i>Atlas Shrugged</i> (1957) describes a group who attempt to escape conspiracy of mediocrity of America. Objectivism has been an influence on various other movements such as Libertarianism, and Rand's vocal support for Laissez-faire Capitalism and the free market has earned her a distinct spot among American philosophers, and philosophers in general.<br />","3.69","383924","19661","<b>This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?</b><br /><br />Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. <br /><br />Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. <br /><br /><b>You must be prepared, when you read this novel, to check every premise at the root of your convictions.</b><br /><br />This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, <i>that</i> is the first of your premises to check.","Paperback","1168","October 10, 1957","August 1, 1999","Plume","Atlas Shrugged","0452011876"
"168642","https://www.goodreads.com/book/show/168642.In_Cold_Blood","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642.jpg","In Cold Blood","Truman Capote","https://www.goodreads.com/author/show/431149.Truman_Capote","Truman Capote was an American writer whose non-fiction, stories, novels and plays are recognised literary classics, including the novella <i>Breakfast at Tiffany's</i> (1958) and <i>In Cold Blood</i> (1965), which he labeled a ""non-fiction novel."" At least 20 films and TV dramas have been produced from Capote novels, stories and screenplays.<br /><br />He was born as Truman Streckfus Persons to a salesman Archulus Persons and young Lillie Mae. His parents divorced when he was four and he went to live with his mother's relatives in Monroeville, Alabama. He was a lonely child who learned to read and write by himself before entering school. In 1933, he moved to New York City to live with his mother and her new husband, Joseph Capote, a Cuban-born businessman. Mr. Capote adopted Truman, legally changing his last name to Capote and enrolling him in private school. After graduating from high school in 1942, Truman Capote began his regular job as a copy boy at <i>The New Yorker</i>. During this time, he also began his career as a writer, publishing many short stories which introduced him into a circle of literary critics. His first novel, <i>Other Voices, Other Rooms</i>, published in 1948, stayed on The New York Times bestseller list for nine weeks and became controversial because of the photograph of Capote used to promote the novel, posing seductively and gazing into the camera.<br /><br />In the 1950s and 1960s, Capote remained prolific producing both fiction and non-fiction. His masterpiece, <i>In Cold Blood</i>, a story about the murder of the Clutter family in Holcomb, Kansas, was published in 1966 in book form by Random House, became a worldwide success and brought Capote much praise from the literary community. After this success he published rarely and suffered from alcohol addiction. He died in 1984 at age 59.","4.08","635662","22472","On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. <br /><br />As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. <i>In Cold Blood</i> is a work that transcends its moment, yielding poignant insights into the nature of American violence.","Paperback","343","January 1, 1948","February 1, 1994","Vintage","In Cold Blood","0679745580"
"8127","https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg","Anne of Green Gables","L.M. Montgomery","https://www.goodreads.com/author/show/5350.L_M_Montgomery","Lucy Maud Montgomery was a Canadian author, best known for a series of novels beginning with Anne of Green Gables, published in 1908.<br /><br />Montgomery was born at Clifton, Prince Edward Island, Nov. 30, 1874. She came to live at Leaskdale, north of Uxbridge Ontario, after her wedding with Rev. Ewen Macdonald on July 11, 1911. She had three children and wrote close to a dozen books while she was living in the Leaskdale Manse before the family moved to Norval, Ontario in 1926. She died in Toronto April 24, 1942 and was buried at Cavendish, Prince Edward Island.","4.3","936886","36220","This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up, <i>Anne of Green Gables</i> is also a wonderful portrait of a time, a place, a family… and, most of all, love. <br /><br />WITH AN AFTERWORD BY JENNIFER LEE CARELL","Mass Market Paperback","320","January 1, 1908","May 6, 2003","Signet","Anne of Green Gables","0451528824"
"18144590","https://www.goodreads.com/book/show/18144590-the-alchemist","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654371463i/18144590.jpg","The Alchemist","Paulo Coelho","https://www.goodreads.com/author/show/566.Paulo_Coelho","The Brazilian author PAULO COELHO was born in 1947 in the city of Rio de Janeiro. Before dedicating his life completely to literature, he worked as theatre director and actor, lyricist and journalist. In 1986, PAULO COELHO did the pilgrimage to Saint James of Compostella, an experience later to be documented in his book The Pilgrimage. In the following year, COELHO published The Alchemist. Slow initial sales convinced his first publisher to drop the novel, but it went on to become one of the best selling Brazilian books of all time. Other titles include Brida (1990), The Valkyries (1992), By the river Piedra I sat Down and Wept (1994), the collection of his best columns published in the Brazilian newspaper Folha de São Paulo entitle Maktub (1994), the compilation of texts Phrases (1995), The Fifth Mountain (1996), Manual of a Warrior of Light (1997), Veronika decides to die (1998), The Devil and Miss Prym (2000), the compilation of traditional tales in Stories for parents, children and grandchildren (2001), Eleven Minutes (2003), The Zahir (2005), The Witch of Portobello (2006) and Winner Stands Alone (to be released in 2009). During the months of March, April, May and June 2006, Paulo Coelho traveled to celebrate the 20th anniversary of his pilgrimage to Saint James of Compostella in 1986. He also held surprise book signings - announced one day in advance - in some cities along the way, to have a chance to meet his readers. In ninety days of pilgrimage the author traveled around the globe and took the famous Transiberrian train that took him to Vladivostok. During this experience Paulo Coelho launched his blog Walking the Path - The Pilgrimage in order to share with his readers his impressions. Since this first blog Paulo Coelho has expanded his presence in the internet with his daily blogs in Wordpress, Myspace &amp; Facebook. He is equally present in media sharing sites such as Youtube and Flickr, offering on a regular basis not only texts but also videos and pictures to his readers. From this intensive interest and use of the Internet sprang his bold new project: The Experimental Witch where he invites his readers to adapt to the screen his book The Witch of Portobello. Indeed Paulo Coelho is a firm believer of Internet as a new media and is the first Best-selling author to actively support online free distribution of his work. ","3.9","2881961","113323","Combining magic, mysticism, wisdom, and wonder into an inspiring tale of self-discovery, <i>The Alchemist</i> has become a modern classic, selling millions of copies around the world and transforming the lives of countless readers across generations.<br /><br />Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different—and far more satisfying—than he ever imagined. Santiago's journey teaches us about the essential wisdom of listening to our hearts, recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, following our dreams.","Paperback","182","January 1, 1988","April 15, 2014","HarperOne","O Alquimista","0062315005"
"6514","https://www.goodreads.com/book/show/6514.The_Bell_Jar","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg","The Bell Jar","Sylvia Plath","https://www.goodreads.com/author/show/4379.Sylvia_Plath","Sylvia Plath was an American poet, novelist, and short story writer. Known primarily for her poetry, Plath also wrote a semi-autobiographical novel, <i>The Bell Jar</i>, under the pseudonym Victoria Lucas. The book's protagonist, Esther Greenwood, is a bright, ambitious student at Smith College who begins to experience a mental breakdown while interning for a fashion magazine in New York. The plot parallels Plath's experience interning at <i>Mademoiselle</i> magazine and subsequent mental breakdown and suicide attempt.","4.04","875004","47753","The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.","Paperback","294","January 1, 1963","January 1, 2006","Harper Perennial Modern Classics","The Bell Jar",
